loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbeccen,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,pl_mnum,st_lum
3626,Kepler-948,Kepler-948 b,1,7.76846622,,19h33m12.06s,293.300231,+41d31m24.0s,41.523338,884.00,5679.00,0.96,0.94,,1.850,2016,0,
3627,Kepler-949,Kepler-949 b,1,8.68930730,,19h54m25.89s,298.607876,+46d27m13.3s,46.453682,572.00,5403.00,0.89,0.86,,2.910,2016,0,
3628,Kepler-95,Kepler-95 b,1,11.52310000,,18h57m55.79s,284.482459,+44d23m52.9s,44.398037,451.38,5699.00,1.08,1.41,13.00000,3.420,2014,0,
3629,Kepler-950,Kepler-950 b,1,98.71804060,,19h11m49.58s,287.956566,+41d07m49.2s,41.130329,1489.00,5857.00,1.02,1.02,,8.980,2016,0,
3630,Kepler-951,Kepler-951 b,1,71.52530845,,19h10m57.01s,287.737560,+38d06m52.4s,38.114567,408.00,4834.00,0.77,0.73,,5.590,2016,0,
3631,Kepler-952,Kepler-952 b,1,130.35469190,,19h01m29.27s,285.371949,+41d59m38.1s,41.993912,1167.00,5730.00,1.00,0.99,,7.650,2016,0,
3632,Kepler-953,Kepler-953 b,2,88.40655258,,19h15m53.20s,288.971662,+44d37m28.3s,44.624531,240.00,5416.00,0.95,0.99,,4.210,2016,0,
3633,Kepler-953,Kepler-953 c,2,9.10967112,,19h15m53.20s,288.971662,+44d37m28.3s,44.624531,240.00,5416.00,0.95,0.99,,1.190,2016,0,
3634,Kepler-954,Kepler-954 b,1,16.78176602,,19h43m26.25s,295.859378,+47d56m22.2s,47.939510,224.00,4990.00,0.82,0.76,,2.320,2016,0,
3635,Kepler-955,Kepler-955 b,1,14.53244172,,19h13m53.15s,288.471458,+40d16m11.3s,40.269795,637.00,5350.00,0.89,0.84,,3.130,2016,0,
3636,Kepler-956,Kepler-956 b,1,5.24867263,,19h30m07.39s,292.530806,+49d03m42.1s,49.061707,631.00,6040.00,1.10,1.15,,3.000,2016,0,
3637,Kepler-957,Kepler-957 b,1,5.90741354,,19h20m37.52s,290.156346,+48d49m08.4s,48.818996,749.00,4963.00,0.81,0.75,,5.500,2016,0,
3638,Kepler-958,Kepler-958 b,1,9.76788050,,19h09m01.60s,287.256685,+46d04m00.4s,46.066769,467.00,5421.00,0.91,0.86,,2.060,2016,0,
3639,Kepler-959,Kepler-959 b,1,14.80074836,,19h28m41.08s,292.171168,+40d48m41.0s,40.811382,1003.00,7005.00,1.60,2.01,,4.380,2016,0,
3640,Kepler-96,Kepler-96 b,1,16.23850000,,19h48m16.71s,297.069643,+40d31m30.5s,40.525141,123.32,5690.00,1.00,1.02,8.46000,2.670,2014,0,
3641,Kepler-960,Kepler-960 b,1,3.12686223,,18h45m49.72s,281.457163,+46d44m47.3s,46.746468,298.00,4755.00,0.77,0.72,,2.290,2016,0,
3642,Kepler-961,Kepler-961 b,1,16.87727414,,18h48m08.52s,282.035496,+43d37m52.6s,43.631268,607.00,5582.00,0.96,0.90,,2.550,2016,0,
3643,Kepler-962,Kepler-962 b,1,12.05707239,,19h41m15.15s,295.313145,+46d14m15.0s,46.237488,439.00,5478.00,0.93,0.86,,1.970,2016,0,
3644,Kepler-963,Kepler-963 b,1,9.97683705,,19h47m00.71s,296.752973,+45d02m28.0s,45.041100,786.00,5461.00,0.91,0.87,,2.660,2016,0,
3645,Kepler-964,Kepler-964 b,1,13.52251060,,19h41m12.02s,295.300090,+40d33m23.7s,40.556591,478.00,5427.00,0.93,0.84,,2.120,2016,0,
3646,Kepler-965,Kepler-965 b,1,134.25272980,,19h54m03.68s,298.515338,+41d53m28.3s,41.891205,618.00,5886.00,1.05,1.15,,3.380,2016,0,
3647,Kepler-966,Kepler-966 b,1,99.74762200,,19h49m04.94s,297.270578,+50d07m18.5s,50.121811,773.00,5840.00,1.02,1.02,,4.130,2016,0,
3648,Kepler-967,Kepler-967 b,2,13.22713379,,19h06m13.94s,286.558075,+38d24m19.3s,38.405360,499.00,5178.00,0.84,0.80,,2.350,2016,0,
3649,Kepler-967,Kepler-967 c,2,198.71125020,,19h06m13.94s,286.558075,+38d24m19.3s,38.405360,499.00,5178.00,0.84,0.80,,3.650,2016,0,
3650,Kepler-968,Kepler-968 b,2,3.69298373,,19h02m24.61s,285.602528,+50d06m43.3s,50.112038,312.00,4598.00,0.76,0.70,,2.000,2016,0,
3651,Kepler-968,Kepler-968 c,2,5.70940492,,19h02m24.61s,285.602528,+50d06m43.3s,50.112038,312.00,4598.00,0.76,0.70,,1.690,2016,0,
3652,Kepler-969,Kepler-969 b,2,34.17317140,,19h13m29.40s,288.372508,+47d56m00.8s,47.933556,411.00,5214.00,0.92,0.82,,2.070,2016,0,
3653,Kepler-969,Kepler-969 c,2,1.68293460,,19h13m29.40s,288.372508,+47d56m00.8s,47.933556,411.00,5214.00,0.92,0.82,,0.990,2016,0,
3654,Kepler-97,Kepler-97 b,2,2.58664000,,19h09m18.39s,287.326624,+48d40m24.4s,48.673431,405.58,5779.00,0.94,0.98,3.51000,1.480,2014,0,
3655,Kepler-97,Kepler-97 c,2,789.00000000,,19h09m18.39s,287.326624,+48d40m24.4s,48.673431,405.58,5779.00,0.94,0.98,344.00000,,2014,0,
3656,Kepler-970,Kepler-970 b,1,16.73652231,,19h18m30.06s,289.625230,+40d42m31.4s,40.708726,350.00,4511.00,0.70,0.67,,2.770,2016,0,
3657,Kepler-971,Kepler-971 b,1,9.59070716,,18h56m22.70s,284.094587,+41d10m58.2s,41.182821,345.00,5431.00,0.88,0.85,,2.130,2016,0,
